task_id,input_size,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
877,308193403,hu-worker-c35,d8/c48832,nf-d8c48832b9f759a02fe8e98bb176273c,NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDCLIP,TREATMENT_rhINFa2b_10000_REP2,NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDCLIP (TREATMENT_rhINFa2b_10000_REP2),COMPLETED,0,-,quay.io/biocontainers/ucsc-bedclip:377--h0b8a92a_2,6,28800000,-,38654705664,1,1715239776162,1715239790000,1715239794000,17838,4000,-,99.5,0.0,8036352,19369984,8036352,19439616,308257120,308193508,4863,75258,5263360,308203520,58,91,/input/data/work/d8/c48832b9f759a02fe8e98bb176273c,true,-
879,281421821,hu-worker-c35,28/5bfe68,nf-285bfe68638b070c87597959a39a39d4,NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDCLIP,TREATMENT_rhIFNb_10000_REP3,NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDCLIP (TREATMENT_rhIFNb_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/ucsc-bedclip:377--h0b8a92a_2,6,28800000,-,38654705664,1,1715239780522,1715239797000,1715239801000,20478,3000,-,99.5,0.0,7974912,19369984,7974912,19439616,281485516,281421914,4454,68722,0,281432064,8,82,/input/data/work/28/5bfe68638b070c87597959a39a39d4,true,-
822,1804156984,hu-worker-c24,27/c5b0f5,nf-27c5b0f5a7e6e897c939f62c97948908,NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV,CONTROL_REP1,NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV (CONTROL_REP1),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,6,28800000,-,38654705664,1,1715239577181,1715239578000,1715239811000,233819,231000,-,111.9,1.5,4042362880,5008515072,5612470272,6582063104,4091731077,966543399,243344,20267754,0,483287040,40869,936,/input/data/work/27/c5b0f5a7e6e897c939f62c97948908,true,-
824,2720251144,hu-worker-c24,81/61a763,nf-8161a763b5d55171f6bad6da631db632,NFCORE_RNASEQ:RNASEQ:DUPRADAR,CONTROL_REP1,NFCORE_RNASEQ:RNASEQ:DUPRADAR (CONTROL_REP1),COMPLETED,0,-,quay.io/biocontainers/bioconductor-dupradar:1.28.0--r42hdfd78af_0,1,72000000,-,6442450944,1,1715239589878,1715239590000,1715239815000,225122,225000,-,105.7,0.2,443236352,4826107904,443424768,4936028160,11237740177,302325063,1409873,73624,4194304,302407680,5495,52,/input/data/work/81/61a763b5d55171f6bad6da631db632,true,-
835,1345537166,hu-worker-c42,20/3b621d,nf-203b621da5259d062be2515ad6888073,NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV,TREATMENT_rhINFa2b_10000_REP3,NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV (TREATMENT_rhINFa2b_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,6,28800000,-,38654705664,1,1715239632109,1715239634000,1715239809000,176891,174000,-,112.4,1.2,3127062528,3840966656,4710281216,5424537600,3076991528,771543840,190016,16219070,0,385781760,28538,687,/input/data/work/20/3b621da5259d062be2515ad6888073,true,-
834,2261631326,hu-worker-c27,8f/a7c563,nf-8fa7c5639b631fe8e2b4f21c0b13eb28,NFCORE_RNASEQ:RNASEQ:DUPRADAR,TREATMENT_rhINFa2b_10000_REP3,NFCORE_RNASEQ:RNASEQ:DUPRADAR (TREATMENT_rhINFa2b_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/bioconductor-dupradar:1.28.0--r42hdfd78af_0,1,72000000,-,6442450944,1,1715239636653,1715239637000,1715239818000,181347,181000,-,107.2,0.2,432574464,4826107904,432758784,4936028160,9223551286,156653872,1142182,38071,0,156729344,4397,56,/input/data/work/8f/a7c5639b631fe8e2b4f21c0b13eb28,true,-
882,289520614,hu-worker-c42,31/0811a2,nf-310811a2fde3443eee320f42856b1d59,NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDCLIP,TREATMENT_mIFNa11_1000_REP2,NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDCLIP (TREATMENT_mIFNa11_1000_REP2),COMPLETED,0,-,quay.io/biocontainers/ucsc-bedclip:377--h0b8a92a_2,6,28800000,-,38654705664,1,1715239804003,1715239812000,1715239816000,11997,4000,-,99.3,0.0,8126464,19369984,8126464,19439616,289584392,289520707,4578,70699,0,289529856,8,84,/input/data/work/31/0811a2fde3443eee320f42856b1d59,true,-
497,3633532864,hu-worker-c27,f6/05e35b,nf-f605e35b9b4a2eac0af5084c35868875,NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE,TREATMENT_rhINFa2b_10000_REP2,NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE (TREATMENT_rhINFa2b_10000_REP2),COMPLETED,0,-,quay.io/biocontainers/stringtie:2.2.1--hecb563c_2,6,28800000,-,38654705664,1,1715238314031,1715239733000,1715239863000,1548969,130000,-,199.7,0.3,886882304,1090396160,1113190400,1394094080,3845983314,621336213,246782,180665,4083712,619720704,64108,1427,/input/data/work/f6/05e35b9b4a2eac0af5084c35868875,true,-
443,3432579583,hu-worker-c28,3b/0147cb,nf-3b0147cbf99791e63d87f390e9b2828d,NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE,TREATMENT_rhIFNb_10000_REP3,NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE (TREATMENT_rhIFNb_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/stringtie:2.2.1--hecb563c_2,6,28800000,-,38654705664,1,1715238264067,1715239753000,1715239877000,1612933,123000,-,201.8,0.4,980779008,1120235520,1124618240,1276833792,3644059218,619015084,240414,180593,4083712,617365504,66370,1186,/input/data/work/3b/0147cbf99791e63d87f390e9b2828d,true,-
455,3370081558,hu-worker-c35,32/8b77d9,nf-328b77d90053ffc204af1f9b07a6faa2,NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE,TREATMENT_mIFNa11_1000_REP2,NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE (TREATMENT_mIFNa11_1000_REP2),COMPLETED,0,-,quay.io/biocontainers/stringtie:2.2.1--hecb563c_2,6,28800000,-,38654705664,1,1715238274100,1715239753000,1715239880000,1605900,126000,-,197.5,0.3,893669376,1061715968,989671424,1175060480,3581585141,619524289,238512,181019,3952640,617869312,58083,1106,/input/data/work/32/8b77d90053ffc204af1f9b07a6faa2,true,-
